Airport_Code,City
01A,"Afognak Lake, AK"
05A,"Little Squaw, AK"
06A,"Kizhuyak, AK"
09A,"Homer, AK"
1AK,"Mertarvik, AK"
1B1,"Hudson, NY"
1CT,"Somers, CT"
1FL,"Titusville, FL"
1G4,"Peach Springs, AZ"
1N7,"Blairstown, NJ"
1NY,"Penn Yan, NY"
1PA,"Connellsville, PA"
1TX,"Dumas, TX"
2AK,"Deerpark, AK"
2FL,"West Palm Beach, FL"
2GA,"Camilla, GA"
2NJ,"Williamstown, NJ"
2NY,"Port Washington, NY"
2PA,"Philadelphia, PA"
2WA,"Tacoma, WA"
3FL,"Wauchula, FL"
3NJ,"Camden, NJ"
3VA,"West Point, VA"
4CL,"El Mirage, CA"
4NC,"Andrews, NC"
5CA,"Palmdale, CA"
5GA,"Calhoun, GA"
5NJ,"Newark, NJ"
5PA,"Allentown, PA"
6AK,"Newtok, AK"
6B0,"Middlebury, VT"
6CA,"Little River, CA"
6GA,"Cornelia, GA"
6PA,"Chambersburg, PA"
7AK,"Akun, AK"
A01,"Fairbanks/Ft. Wainwright, AK"
A03,"Hallo Bay, AK"
A04,"Red Lake, AK"
A06,"Kougarok, AK"
A17,"Port Vita, AK"
A18,"Kantishna, AK"
A20,"Alpine, AK"
A26,"Ivotuk, AK"
A27,"Pogo Mines, AK"
A29,"Kiluda Bay, AK"
A30,"Terror Lake, AK"
A34,"Laura Lake, AK"
A43,"Kodiak Island, AK"
A48,"Port Hobron, AK"
A50,"Big Bay, AK"
A52,"Silver Salmon Creek, AK"
A5K,"Paxson, AK"
A63,"Yukon Charley Rivvers, AK"
A65,"Karluk Portage, AK"
A6K,"Fairbanks1, AK"
A72,"Chinitna Bay, AK"
A73,"McKinley Park, AK"
A75,"Malina Bay, AK"
A76,"Red Fox Bay, AK"
A87,"Carry Inlet, AK"
AA8,"Deadhorse, AK"
ABE,"Allentown/Bethlehem/Easton, PA"
ABI,"Abilene, TX"
ABL,"Ambler, AK"
ABQ,"Albuquerque, NM"
ABR,"Aberdeen, SD"
ABY,"Albany, GA"
ACK,"Nantucket, MA"
ACT,"Waco, TX"
ACV,"Arcata/Eureka, CA"
ACY,"Atlantic City, NJ"
ADK,"Adak Island, AK"
ADQ,"Kodiak, AK"
ADS,"Dallas, TX"
ADW,"Camp Springs, MD"
AET,"Allakaket, AK"
AEX,"Alexandria, LA"
AFW,"Dallas/Fort Worth, TX"
AGC,"Pittsburgh, PA"
AGN,"Angoon, AK"
AGS,"Augusta, GA"
AHN,"Athens, GA"
AIA,"Alliance, NE"
AIN,"Wainwright, AK"
