Origin_Airport,Destination_Airport,Total_Available_seats,Total_Passengers_transported
2WA,2WA,1595,974
2WA,FBS,920,334
2WA,KEH,560,65
7AK,DUT,3171,780
ABE,ATL,72255,63643
ABE,BNA,6126,4235
ABE,CLT,79805,64988
ABE,MYR,23307,19750
ABE,ORD,33330,28394
ABE,PGD,28533,25849
ABE,PIE,45972,42241
ABE,SFB,111042,98635
ABI,DFW,126774,90751
ABQ,ATL,167875,147917
ABQ,AUS,92201,74171
ABQ,BUR,46904,35608
ABQ,BWI,40875,35328
ABQ,CNM,5448,2437
ABQ,DAL,256417,190602
ABQ,DEN,403631,310175
ABQ,DFW,341415,284471
ABQ,HOU,135184,109687
ABQ,IAH,106778,87663
ABQ,JFK,36222,29237
ABQ,LAS,336733,242036
ABQ,LAX,179877,138884
ABQ,LGB,25454,18879
ABQ,LRU,3258,1566
ABQ,MCI,40898,29756
ABQ,MCO,4147,3905
ABQ,MDW,59721,52986
ABQ,MSP,38271,28450
ABQ,OAK,44242,30755
ABQ,ORD,91616,78108
ABQ,PDX,21052,18969
ABQ,PHX,409383,302356
ABQ,SAN,78513,54225
ABQ,SEA,41700,35955
ABQ,SFO,45506,34989
ABQ,SLC,90840,69803
ABQ,SVC,7803,4244
ABR,MSP,42574,21311
ABY,ATL,50427,28746
ACK,BOS,53191,34459
ACK,DCA,27288,20745
ACK,EWB,2934,1352
ACK,EWR,11700,9738
ACK,HPN,26308,16611
ACK,HYA,13311,4649
ACK,JFK,31007,19717
ACK,LGA,35661,26735
ACK,MVY,3780,859
ACK,PHL,4180,3707
ACT,DFW,67940,49300
ACV,BUR,30714,24819
ACV,DEN,19834,17779
ACV,LAX,26524,21558
ACV,SFO,68418,58150
ACY,FLL,101786,79714
ACY,MCO,161669,121461
ACY,MYR,50374,37547
ACY,PBI,58419,45439
ACY,RSW,68163,50604
ACY,TPA,48887,36103
ADQ,AKK,292,59
ADQ,ANC,114455,77700
ADQ,KLN,3713,1637
ADQ,KOZ,2529,706
ADQ,KYK,407,64
ADQ,OLH,4545,1702
ADQ,ORI,2434,576
AET,BTT,765,412
AET,FAI,1553,928
AET,HUS,252,142
AEX,ATL,54584,39776
AEX,DFW,69615,47431
AGN,JNU,6016,1918
AGN,TKE,922,222
AGS,ATL,155408,139736
AGS,BOS,1140,702
AGS,CLT,119044,100603
AGS,DCA,21905,16153
AGS,DFW,27680,22712
AGS,LGA,1520,1124
AGS,PHL,988,839
AIA,DEN,5170,3947
AIN,ATK,2554,1632
AIN,BRW,6334,2369
AKB,DUT,715,132
AKI,BET,3933,1375
AKI,TLT,82,33
AKK,ADQ,149,50
AKN,ANC,33197,15612
AKN,DLG,3181,758
AKN,EGX,1556,515
AKN,IGG,225,10
AKN,KLL,496,110
AKN,PIP,920,90
AKN,PTH,1347,349
AKN,WSN,468,24
AKP,BTT,115,43
AKP,CXF,234,98
AKP,FAI,4096,2184
ALB,ATL,149889,127566
ALB,BWI,266203,225098
ALB,CLT,154239,136767
ALB,DCA,69938,57929
ALB,DEN,7007,6702
ALB,DFW,47250,39017
ALB,DTW,105080,88704
ALB,EWR,44422,35719
ALB,FLL,55668,47398
ALB,IAD,60600,54336
ALB,LAS,4433,4216
ALB,LGA,47773,33459
ALB,MCO,150608,131075
ALB,MDW,99148,79352
ALB,MYR,2604,2271
ALB,ORD,148406,126823
ALB,PGD,7854,6543
ALB,PHL,51850,46214
ALB,TPA,19734,16128
ALO,ORD,32900,10770
ALS,DEN,22765,10750
ALW,SEA,52896,36365
AMA,AUS,22521,12974
AMA,DAL,186674,122887
AMA,DEN,35283,27020
AMA,DFW,178982,138200
AMA,IAH,47300,40177
AMA,LAS,32328,22249
ANC,ADQ,114490,77184
ANC,AKN,33425,15141
ANC,ANI,1251,804
ANC,ATL,17016,15905
ANC,BET,108118,77875
ANC,BRW,49403,29574
ANC,CDB,3185,572
ANC,CDV,44192,18164
ANC,DEN,94803,74712
ANC,DFW,75068,67318
ANC,DLG,38127,22029
ANC,DTW,4926,4468
ANC,DUT,11444,7080
ANC,ENA,105743,67248
ANC,EWR,14110,10410
ANC,FAI,218529,160824
ANC,HNL,31960,27097
ANC,HOM,7218,845
ANC,IAD,15225,11496
ANC,IAH,18094,14050
ANC,JFK,9540,6964
ANC,JNU,149602,102268
ANC,KOA,2779,2577
ANC,LAX,35989,29106
ANC,MCG,2764,1438
ANC,MSP,132925,116242
ANC,OME,67813,40115
ANC,ORD,104988,82902
ANC,OTZ,55749,28146
ANC,PAE,13528,9630
ANC,PDX,74051,62364
ANC,PHX,27946,23593
ANC,SCC,53572,33958
ANC,SDP,3510,657
ANC,SEA,1229518,1012030
ANC,SFO,29763,23444
ANC,SLC,10799,9650
ANI,ANC,1233,801
ANI,BET,756,257
ANI,CHU,116,34
ANI,HCR,452,75
ANI,KGX,286,24
ANI,KLG,2985,446
ANI,RSH,2027,101
ANV,ANI,25,3
APN,DTW,36181,9591
ARC,FAI,526,246
ARC,VEE,1580,628
ART,PHL,31600,21014
ASE,ASE,2200,0
ASE,ATL,22358,15365
ASE,AUS,8135,5396
ASE,DEN,176805,134148
ASE,DFW,69490,50829
ASE,IAH,37590,25938
ASE,LAX,69275,44085
ASE,ORD,60265,42639
ASE,PHX,5005,3815
ASE,SFO,20720,13716
ATK,AIN,2455,1617
ATK,BRW,3733,1935
ATL,ABE,72249,63678
ATL,ABQ,168788,147822
ATL,ABY,50574,27755
ATL,AEX,54512,40356
ATL,AGS,155324,133632
ATL,ALB,150904,129102
ATL,ANC,17020,16045
ATL,ASE,22289,16568
ATL,ATL,1064,0
ATL,ATW,35507,31160
ATL,AUS,748731,604808
ATL,AVL,239547,197586
ATL,BDL,345775,308834
ATL,BHM,451030,376774
ATL,BMI,50607,43694
ATL,BNA,596315,483025
ATL,BOI,76723,68744
ATL,BOS,825597,737584
ATL,BQK,52524,37910
ATL,BTR,140762,122181
ATL,BTV,44168,37609
ATL,BUF,203988,176821
ATL,BUR,14559,13170
ATL,BWI,1054406,851905
ATL,BZN,63160,56046
ATL,CAE,226777,198798
ATL,CHA,212064,185041
ATL,CHO,88568,77468
ATL,CHS,457814,399475
ATL,CID,49741,41422
ATL,CLE,464104,382972
ATL,CLT,541216,436008
ATL,CMH,512890,418037
ATL,COS,61331,53794
ATL,CRW,71113,61140
ATL,CSG,67942,47879
ATL,CVG,471452,395448
ATL,DAB,231096,200879
ATL,DAL,490647,399434
ATL,DAY,138122,124734
ATL,DCA,926500,771646
ATL,DEN,1013932,886567
ATL,DFW,1092463,913507
ATL,DHN,46373,33633
ATL,DSM,121980,109700
ATL,DTW,930475,797422
ATL,ECP,321222,269422
ATL,EGE,35328,25704
ATL,ELP,117206,97980
ATL,EVV,70068,55497
ATL,EWR,817310,727607
ATL,EYW,175858,146938
ATL,FAT,17760,15276
ATL,FAY,60188,51578
ATL,FLL,1485388,1263840
ATL,FSD,47397,40179
ATL,FWA,74355,65137
ATL,GEG,74898,66798
ATL,GNV,179405,151849
ATL,GPT,130304,112843
ATL,GRB,52928,44744
ATL,GRR,237996,210640
ATL,GSO,313934,264629
ATL,GSP,425339,351529
ATL,GTR,51496,41330
ATL,HDN,21262,16758
ATL,HHH,12415,9964
ATL,HNL,99428,90148
ATL,HOU,451361,367321
ATL,HPN,163089,135966
ATL,HSV,252240,222303
ATL,HVN,11907,10441
ATL,IAD,403981,330187
ATL,IAH,718737,594427
ATL,ICT,124425,107416
ATL,ILM,117020,102155
ATL,IND,555465,460329
ATL,JAC,41745,34010
ATL,JAN,321928,244140
ATL,JAX,826557,707501
ATL,JFK,534711,454806
ATL,LAS,898897,788613
ATL,LAX,1061497,947988
ATL,LEX,229798,197390
ATL,LFT,70340,61560
ATL,LGA,1398218,1213183
