Strategy,Nodes Removed,Connected,Subgraphs,Shortest Shortest Path,Longest Shortest Path,ASP Largest Component,Average Top 5 Degree Centrality,Average Top 5 Betweenness Centrality,Average Top 5 Closeness Centrality
random,1,True,1,0.0,9.0,3.0196861678004536,0.6316793893129771,0.16561146519952524,0.5251868515597714
random,2,True,1,0.0,9.0,3.0150595827748967,0.6359464627151052,0.16434639047541183,0.5260841413155088
random,3,False,7,,,3.033562922529547,0.6057471264367817,0.16802390519006688,0.5161051480520372
random,5,True,1,0.0,9.0,3.015723490555959,0.6373076923076922,0.16456116950442423,0.5258124728923083
random,10,True,1,0.0,9.0,3.006106904633135,0.6341747572815534,0.16644223137611722,0.5267291476567463
random,20,False,6,,,2.9733374564760786,0.6483168316831683,0.1634272183914072,0.5250624348807876
random,30,False,12,,,3.0073218908977744,0.5955555555555556,0.16793723695009088,0.5094889685206223
random,50,False,13,,,3.0122343192627823,0.6261052631578947,0.16367185289300548,0.5118538068836128
degree,1,False,18,,,3.0465775931551864,0.5820610687022901,0.15492811531207212,0.5017209588878255
degree,2,False,39,,,3.088343521617376,0.5261950286806882,0.14015493979762503,0.4695182355272104
degree,3,False,53,,,3.1351931330472103,0.4785440613026819,0.13256763668725632,0.4440207837509078
degree,5,False,74,,,3.189249371971322,0.4003846153846154,0.12308748430613445,0.4154626902605357
degree,10,False,111,,,3.3278200045453397,0.3188349514563107,0.10887595426965298,0.3636790330434822
degree,20,False,155,,,3.733884870200108,0.23524752475247523,0.11414799643909834,0.2819348020407097
degree,30,False,181,,,4.351661325687299,0.13494949494949496,0.11177834828353314,0.21648567083387435
degree,50,False,250,,,4.785793368684809,0.09515789473684211,0.021105530273435848,0.08449962943009562
betweenness,1,False,12,,,2.816485587214794,0.6324427480916031,0.10847618149082869,0.4821858438122364
betweenness,2,False,32,,,2.848360828213113,0.5850860420650096,0.10037581674192575,0.45132396274366765
betweenness,3,False,50,,,2.885317645164444,0.5241379310344827,0.0891120936595623,0.4256923079559571
betweenness,5,False,79,,,2.9371737614713473,0.4773076923076924,0.08231460914063317,0.400610233295754
betweenness,10,False,129,,,2.7502535599821494,0.3724271844660194,0.04039126105099067,0.3312695773586557
betweenness,20,False,197,,,2.804991937651169,0.3013861386138614,0.023434965043573015,0.2566986045350047
betweenness,30,False,222,,,2.8479578566862838,0.27232323232323236,0.019896317347137038,0.22661763069399316
betweenness,50,False,263,,,3.0259483406510816,0.18652631578947368,0.014809088871065324,0.16443011264518875
closeness,1,False,21,,,3.0504804176926514,0.5870229007633588,0.1527294921997654,0.49553229779394314
closeness,2,False,39,,,3.088343521617376,0.5261950286806882,0.14015493979762503,0.4695182355272104
closeness,3,False,53,,,3.1351931330472103,0.4785440613026819,0.13256763668725632,0.4440207837509078
closeness,5,False,74,,,3.233285265147848,0.4123076923076924,0.12303383915983676,0.4093535562274317
closeness,10,False,106,,,3.448615593680992,0.3627184466019417,0.12517743651981902,0.3600913923562756
closeness,20,False,164,,,2.970411951109099,0.281980198019802,0.02355850571319572,0.23564517150258618
closeness,30,False,189,,,3.306625,0.1898989898989899,0.025306758310683703,0.18444853254547963
closeness,50,False,221,,,4.060034696859021,0.11242105263157895,0.022389472317410973,0.10728040196370003
