Strategy,Nodes Removed,Connected,Subgraphs,Shortest Shortest Path,Longest Shortest Path
random,1,True,1,0.0,9.0
random,2,True,1,0.0,9.0
random,3,True,1,0.0,9.0
random,5,True,1,0.0,9.0
random,10,True,1,0.0,9.0
random,20,False,8,,
random,30,False,4,,
random,50,False,31,,
degree,1,False,18,,
degree,2,False,39,,
degree,3,False,53,,
degree,5,False,74,,
degree,10,False,111,,
degree,20,False,155,,
degree,30,False,181,,
degree,50,False,250,,
betweenness,1,False,12,,
betweenness,2,False,32,,
betweenness,3,False,50,,
betweenness,5,False,79,,
betweenness,10,False,129,,
betweenness,20,False,197,,
betweenness,30,False,222,,
betweenness,50,False,263,,
closeness,1,False,21,,
closeness,2,False,39,,
closeness,3,False,53,,
closeness,5,False,74,,
closeness,10,False,106,,
closeness,20,False,164,,
closeness,30,False,189,,
closeness,50,False,221,,
